,SymbolsA,EntrezsA,logFC,AveExpr,t,P.Value,adj.P.Val,B,logFC validation,A,B,GSM26878.CEL,GSM26883.CEL,GSM26887.CEL,GSM26903.CEL,GSM26910.CEL,GSM26888.CEL,GSM26889.CEL,GSM26892.CEL,GSM26898.CEL,GSM26906.CEL
214079_at,NA,NA,6.03281459244545,8.67716893637506,6.94997370175054,2.08387135699569e-06,0.000606835597223951,5.16474149994118,6.03281459244545,11.6171980674515,5.58438347500604,10.6325616511419,11.5801872085761,12.5036753567783,12.393889589719,10.9756765310421,5.77658288544021,5.17578836739871,5.77019306187098,5.75594968590387,5.44340337441645
212458_at,NA,NA,1.78483958811244,8.57254372011439,6.92621490264044,2.17868420639675e-06,0.000616318637929548,5.12222732233778,1.78483958811244,9.38944381566852,7.60460422755609,9.00001612511117,9.47474665847623,9.4388539883588,9.71642117247458,9.31718113392184,7.91467121760135,7.70341584796233,6.7398545616556,8.20628714491198,7.45879236564916
206166_s_at,NA,NA,4.32505138960924,7.47631152702823,6.89017916333527,2.3311293523533e-06,0.000641125325490278,5.05758146791227,4.32505138960924,10.2461027606917,5.92105137108244,10.8509795870902,9.81887678519595,12.3305653612922,7.11976285228846,11.1103292175916,5.92682925269162,5.93623076523989,5.82993794211085,6.12462580986203,5.7876330855078
201795_at,NA,NA,-1.76919716014246,10.6284901323861,-6.86256977285812,2.45539999260104e-06,0.000657051765587646,5.00791891940486,-1.76919716014246,9.79375823056272,11.5629553907052,10.5370016884654,9.69074915638446,9.5001952004957,9.72581694421491,9.51502816325315,10.9585741925088,12.1148031951287,11.4498884011713,11.638473663338,11.6530375013791
201952_at,NA,NA,2.66761482271249,11.53050261477,6.77323759835615,2.9067815544285e-06,0.000757369583431489,4.84644223758522,2.66761482271249,12.9473563094377,10.2797414867252,12.7561423621919,11.9084814276972,13.5153098001132,13.2987588702116,13.2580890869746,10.3900622124488,11.5358240073662,9.44227759427688,9.71486737896449,10.3156762405697
205306_x_at,NA,NA,2.92980947147827,8.91943132558654,6.60442323016073,4.01051657762229e-06,0.00101815704192406,4.53800872642853,2.92980947147827,10.7947744991984,7.86496502772012,11.3985730752854,9.14164032186913,11.3942701314159,10.6132928693577,11.4260960980639,8.57421763143403,7.80433511581487,8.36878504579717,6.70954341026302,7.86794393529149
208103_s_at,NA,NA,-2.98775819900594,8.73353171355292,-6.57266295755638,4.26273039893958e-06,0.00105513234199752,4.47950263430951,-2.98775819900594,7.19279052966035,10.1805487286663,7.81374711074525,7.84649063816313,7.23200754173091,6.51389911783844,6.55780823982399,9.19000746222609,10.7474634692084,11.2370279508633,9.9457975209967,9.78244724003692
202672_s_at,NA,NA,-1.26693701657973,8.27831167668791,-6.50522465576519,4.85431185056456e-06,0.00117225711298633,4.35477360463901,-1.26693701657973,7.79611195437284,9.06304897095257,7.60428031263739,7.90455991590271,7.81560942225483,7.58669799280581,8.06941212826345,8.65881859842266,8.99329182133101,9.44821673644073,9.33706145388957,8.87785624467887
212057_at,NA,NA,1.97191299699824,8.65915696787457,6.47791428535936,5.11752836945307e-06,0.00120639639014178,4.30406945930142,1.97191299699824,9.50086471024188,7.52895171324365,8.46702001283254,9.32588192523741,10.2496052349292,9.3939419121112,10.0678744660991,7.0119834906049,7.27684786754248,7.96472760326223,7.68134810895056,7.70985149585807
203060_s_at,NA,NA,2.55245539713985,9.58752407585848,6.42276623559464,5.69510870896821e-06,0.00131133189133708,4.20134442207107,2.55245539713985,11.4349208747132,8.88246547757338,11.9007124334493,11.1238201007294,10.8618520121479,11.2794780460378,12.0087417812018,9.93334392775877,8.34311670141321,9.60853391843587,7.63770408217474,8.88962875808429
212446_s_at,NA,NA,1.44125305424579,7.98520804485289,6.3823217064771,6.16133906999662e-06,0.00138123524261457,4.12572156890576,1.4412530542458,8.46446623276999,7.02321317852419,8.54943965579403,8.64594914052338,7.98968160372171,8.8666590302696,8.27060173354121,7.03271469266981,7.16259812288085,7.16930280939931,7.08757615726322,6.66387411040776
206463_s_at,NA,NA,3.61102027113389,9.25450255691124,6.36976604127267,6.31398261304962e-06,0.00138123524261457,4.10219595799047,3.61102027113389,11.1903074026645,7.57928713153057,9.6646255626731,11.0668402452479,12.5735723845891,12.33825759279,10.3082412280222,7.63431680146736,7.74693776774884,7.30410552127398,7.55957746002935,7.65149810713333
211138_s_at,NA,NA,2.94379009429864,9.15960625921655,6.35482649736615,6.50072248988827e-06,0.00138123524261457,4.07417339404105,2.94379009429864,11.066973423663,8.1231833293644,11.7546589090864,9.2877909606473,11.7288435741768,10.9318397404642,11.6317339339405,8.87610301704233,8.3219087909993,8.5491597584365,6.92960946391669,7.9391356164272
205541_s_at,NA,NA,-1.72986508553757,7.69566969402401,-6.35043331588406,6.55671713997423e-06,0.00138123524261457,4.06592671534442,-1.72986508553757,6.88637274235892,8.61623782789649,7.08418865859514,6.70509589523114,6.57861029578163,6.94862729821062,7.11534156397608,8.54510595616332,9.00528273757805,7.64397501094549,9.08816232987242,8.79866310492317
200961_at,NA,NA,1.32276382595293,10.7736008226479,6.32688569970168,6.86547974102299e-06,0.00140392356361507,4.02167583741994,1.32276382595292,11.5058541741632,10.1830903482102,11.2338550541496,11.1588333732648,11.7890298541432,11.6143185985441,11.7332339907142,10.0999994677642,10.2020769904457,10.0350905673701,10.0282013236831,10.5500833917882
200670_at,NA,NA,1.83572450003779,10.8853569818718,6.31760181010578,6.99131512631224e-06,0.00140392356361507,4.00420708995704,1.83572450003779,11.3511992703992,9.51547477036145,11.8576880561076,11.5687009371319,11.6232737068374,10.4776019660469,11.2287316858723,9.42507842276157,9.18312431540641,9.54788041556423,9.36273036366413,10.0585603344109
