;Symbol;GSM26878.CEL;GSM26883.CEL;GSM26887.CEL;GSM26903.CEL;GSM26910.CEL;GSM26888.CEL;GSM26889.CEL;GSM26892.CEL;GSM26898.CEL;GSM26906.CEL;GSM26879.CEL;GSM26896.CEL;GSM26897.CEL;GSM26907.CEL;GSM26911.CEL
214773_x_at;TIPRL;8,47964842838935;7,93706594909769;8,05177276264565;7,87983201109962;7,90943926130903;8,39940294160283;9,51464756312695;8,42720910614156;8,82917528518404;8,18149641928602;9,39507542560406;8,26432110909305;9,21001366549557;8,37084003189014;8,84429816489756
214774_x_at;TOX3;8,48318716056741;10,0886301963455;8,35025581956977;4,82818953810863;5,00008219404273;4,85799984035099;5,77443825246915;8,26008432580473;7,6966386889888;4,89545502451542;8,74038109406439;7,8618441536646;10,9174190335496;9,1483824016865;10,4857092906584
214777_at;IGKC;8,39165327043309;9,95662125785451;9,27423723950892;8,02508249738858;6,64874471874598;8,777874556864;8,74661455614217;9,71591257746336;6,81608695946706;10,6624131311198;9,16391927583044;8,32032804155548;7,96607224987098;7,13151526270172;9,76722559065095
214779_s_at;SGSM3;8,72019939094887;8,5652085006614;8,33634616526251;8,64142687166465;8,28407901506752;7,92473930944521;7,98158149763734;8,1637049472888;8,48212734434566;7,86897643531344;8,16186299308615;8,01368643864661;8,20146775985385;8,22722937088554;7,96414657563918
214783_s_at;ANXA11;8,02028816464479;8,70202814970866;7,73580460440049;8,15734402546997;7,41158601272044;8,21419954528688;9,20738564980908;7,35219827354509;7,73869850367103;8,3881352141397;7,47019424805829;7,63848727228339;8,39779195954117;8,59338911279633;7,89689134346292
214785_at;VPS13A;5,02572217029487;5,06150767706272;5,73878229299898;4,79269325378159;5,11587353788689;5,13250699435386;5,5290161554072;5,76557380877763;5,82275186756558;5,35833686793428;5,23691569475995;5,34478188389477;5,70608894916989;5,63695366181175;5,07984951276763
214789_x_at;SRSF8;9,9531322070664;9,83686195129831;10,4857193807013;10,0726327169111;9,8496251405296;9,91230591272779;10,4292775890543;9,32005974412063;9,96467881973007;10,3526350483601;9,36061686128527;9,9076161350472;10,1105367126182;9,91140261917367;9,95907484934086
214791_at;SP140L;7,52348180662057;7,25648524575542;7,63988179288135;7,46488173756468;7,35884834319723;7,54127141540286;7,82712339821282;7,717674916143;6,81692183125376;8,28142901517981;7,90179893757027;7,84538422834912;8,34183731339096;8,06864677664583;7,89425767557009
214800_x_at;BTF3;10,6717080758723;10,1978564372003;10,1079435192883;10,2449490712965;9,04245606356364;10,4613914076141;10,2238644630929;10,1952617948316;10,0323279506233;10,8970816332722;10,329773125051;10,3703283340298;11,0485634114086;11,0236875417165;10,0075469224228
214801_at;TOR1AIP2;8,47219539861919;7,88476947184279;7,87550253373257;8,26306934326825;7,57527515343392;8,15161316350028;8,1393033876097;7,80480923545427;8,78291201278601;7,94803937640723;8,02175162408434;8,10370026486953;8,81866498915871;7,85170744195232;8,20967785001235
214803_at;CDH6;7,61000544339011;7,63673545780655;7,12442365984092;8,07871039015233;8,02990638820173;7,9792797715282;7,42214954786005;7,50870692927762;7,18477769935381;7,36570924433911;7,24898769295591;7,50928507090855;7,68130088855885;7,39122016527363;7,38361163233263
214806_at;BICD1;6,03655569139521;6,04384415540526;5,99620240800477;5,87791676568109;6,01937227475739;6,2745164779221;6,15486978531061;6,90357223682833;6,3924906808259;6,34478258667977;6,19064199919905;6,41842591569617;6,34311256917014;6,64054840180456;6,26762197911215
214807_at;PLXDC2;7,52563363645382;7,56108355475736;6,91871448710106;7,3978853381917;7,62455797808653;8,16822565105011;7,64375075024497;7,99662219935302;6,40772746159966;8,37450119163368;7,52805717580964;7,13570925361205;8,40592236636606;8,1477033620326;7,24326951506106
214814_at;YTHDC1;4,72120632386549;4,86930044899927;4,91418126537588;4,86029291591748;4,87755628153412;4,747476704061;4,72175018036411;4,84541028337997;4,99152991786327;4,86930044899927;4,86121704841116;5,23191483174379;4,86930044899927;5,45698541695259;5,90545351344795
214823_at;ZNF204P;4,99447561372269;4,78396360665077;5,0615706470565;5,55167335929498;5,25031581069444;5,01719884842976;6,02354555478259;4,97729826801771;5,25957564893192;5,36063934867315;4,9937541420054;5,60821394214724;6,31575802639028;4,98359658227596;5,13691212111227
214830_at;SLC38A6;8,28059596672238;6,7954479693917;8,45233513028517;8,27357421725483;7,09107354068237;8,93627046414341;8,72117219213789;7,79094479413078;6,94455651289719;8,17322592968226;8,47771989938885;8,09751251676248;8,26683979812185;8,5771547730176;8,10285392846396
214831_at;ELK4;6,88827066937585;6,8953439002488;7,30744415240756;6,63721547069338;6,77934805389568;6,6010637428795;7,76288930449321;7,25203745844182;6,95965628304329;6,77778872990195;7,64339969209042;6,90883368665695;6,89037888939217;6,6762646699252;7,0133696619444
214833_at;TMEM63A;6,46016640655214;6,35589071248437;6,41159362222255;6,04348668574479;6,47974629249379;6,26952155452064;6,89152198339242;6,42575905460249;6,68546954138512;6,42106397507599;6,47142646909134;6,86509605687927;7,19585310791254;6,4835595736905;6,61002068862441
214835_s_at;SUCLG2;9,25950592768912;8,61591420137387;9,13305080301837;9,85924486608972;8,66078345198639;8,78833797175599;9,03164963303374;8,36476199711592;8,86070991631646;8,7436747585224;8,7363533869074;9,34878053016337;9,94643143999674;9,2486913071219;8,96614781045247
214838_at;SFT2D2;9,62740567595909;9,4666711220334;9,64964835196555;8,92803541601136;9,11015245728922;9,60075053380775;10,5775226809927;10,216683542998;10,3050942904446;10,2137653605547;10,8999695119964;9,26560711947014;9,18469132952548;9,35815709383824;10,2335821914819
214841_at;CNIH3;4,9362288875614;5,06001028313232;5,0312280738082;4,96042655950374;4,94198544946068;5,52589226616515;5,43376410968923;4,88781504136632;5,1751673629768;4,85423527941401;5,80138725682607;5,06185729089049;6,2128541724178;5,31401757636415;4,98446211213645
214843_s_at;USP33;8,45663820337061;9,33753404007221;9,59217451837224;10,5419764560051;8,77812014979127;8,53890209083171;8,85757737415022;8,49030555607518;9,08922165553421;8,92102975658154;8,09378674813921;8,68931438092343;8,1646237345509;9,23979823930075;8,65123819603999
214844_s_at;DOK5;8,18466864080548;7,86136992121664;7,69791818773325;8,05461689745955;8,30323489524472;9,13621611856309;8,88270390746627;8,61458396824646;8,87201491557279;8,22979731019006;8,12883577449424;8,21631292215425;8,21153556352972;8,03533510506691;8,22822619014572
214845_s_at;CALU;7,0032810640215;6,79911264957709;7,67534768195668;7,1019945939245;6,95203864860692;7,39185978679166;6,57859344729304;7,11320540527017;7,42933842688152;7,33708442625989;6,72929570359814;6,1620828171249;7,15702956445439;6,44122688124407;7,11777947034843
214848_at;YWHAZ;9,30422363229588;8,91769518100446;8,95198610302767;8,06813031870327;8,86541567909554;8,899859166783;8,99557352765718;9,59466057647128;8,53138423176309;8,24093919213864;8,77377894081775;9,24605374033487;8,78259700879312;9,03484481789975;9,7351775265703
